Name,Arabic Name,Variant,Content
Abdul Birr,عَبْدُ البِرّ,N/A,"Abdul Birr is an indirect Quranic name for boys that means “servant of the Beneficent”, which means “servant of Allah” as al-Birr is one of the names of Allah in Islam."
Abdul Elah,عَبْدُ الإِله,N/A,"Abdul Elah is an indirect Quranic name for boys that means “servant of God”, which means “servant of Allah” as al-Elah is a synonym of Allah. The word Allah is formed from Al-Lah, which itself comes from Al-Elah."
Abdul Fattah,عَبْدُ الفَتَّاح,N/A,"Abdul Fattah is an indirect Quranic name for boys that means “servant of the Opener”, which means “servant of Allah” as al-Fattah is one of the names of Allah in Islam."
Abdul Ghaffar,عَبْدُ الغَفَّار,N/A,"Abdul Ghaffar is an indirect Quranic name for boys that means “servant of the All-Forgiving”, which means “servant of Allah” as al-Ghaffar is one of the names of Allah in Islam."
Abdul Ghafoor,عَبْدُ غَفُوْر,N/A,"Abdul Ghafoor is an indirect Quranic name for boys that means “servant of the Most Forgiving”, which means “servant of Allah” as al-Ghafoor is one of the names of Allah."
Abdul Ghani,عَبْدُ غَنِيّ,N/A,"Abdul Ghani is an indirect Quranic name for boys that means “servant of the Rich/Needless One”, which means “servant of Allah” as al-Ghani is one of the names of Allah."
Abdul Haafiz,عَبْدُ الحَافِظ,N/A,"Abdul Haafiz is an indirect Quranic name for boys that means “servant of the Guardian”, which means “servant of Allah” as al-Haafiz is one of the names of Allah in Islam."
Abdul Hadi,عبد الهادي,N/A,"Abdul Hadi is an indirect Quranic name for boys that means “Servant of al-Hadi“. al-Hadi means “the Guide” and it is one of the names of Allah, subhanahu wa taala. Therefore the basic meaning is of Abdul Hadi is “servant of Allah”. Both the word Abd and Hadi are mentioned in many places in the Quran."
Abdul Hafee,عَبْدُ الحَفِيّ,N/A,"Abdul Hafee is an indirect Quranic name for boys that means “servant of the Gentle and Kind One”, which means “servant of Allah” as al-Hafee is one of the names of Allah in Islam."
Abdul Hafeez,عَبْدُ الحَفِيْظ,N/A,"Abdul Hafeez is an indirect Quranic name for boys that means “servant of the Preserver”, which means “servant of Allah” as al-Hafeez is one of the names of Allah in Islam."
Abdul Hai,عَبْدُ الحيّ,N/A,"Abdul Hai is an indirect Quranic name for boys that means “servant of the Ever-living One”, which means “servant of Allah” as al-Hai is one of the names of Allah."
Abdul Hakam,عَبْدُ الحَكَم,N/A,"Abdul Hakam is an indirect Quranic name for boys that means “servant of the Arbiter/Judge”, which means “servant of Allah” as al-Hakam is one of the names of Allah in Islam."
Abdul Hakeem,عَبْدُ الحَكِيْم,N/A,"Abdul Hakeem is an indirect Quranic name for boys that means “servant of the Decider/Wise One”, which means “servant of Allah” as al-Hakeem is one of the names of Allah in Islam."
Abdul Halim,عَبْدُ الحَلِيْم,N/A,"Abdul Halim is an indirect Quranic name for boys that means “servant of the Forbearing One”, which means “servant of Allah” as al-Halim is one of the names of Allah in Islam."
Abdul Hameed,عبد الحميد,N/A,"Abdul Hameed is an indirect Quranic name for boys that means “servant of the Most Praiseworthy One”, which means “servant of Allah” as al-Hameed is one of the names of Allah."
Abdul Haq,عَبْدُ الحَق,N/A,"Abdul Haq is an indirect Quranic name for boys that means “servant of the Truth”, which means “servant of Allah” as al-Haq is one of the names of Allah."
Abdul Haseeb,عَبْدُ الحَسِيْب,N/A,"Abdul Haseeb is an indirect Quranic name for boys that means “servant of the Reckoner”, which means “servant of Allah” as al-Haseeb is one of the names of Allah in Islam."
Abdul Jabar,عَبْدُ الجَبَار,N/A,"Abdul Jabar is an indirect Quranic name for boys that means “servant of the Mighty/the Unbreaker”, which means “servant of Allah” as al-Jabar is one of the names of Allah."
Abdul Jaleel,عَبْدُ الجليل,N/A,"Abdul Jaleel is an indirect Quranic name for boys that means “servant of the Most High/Majestic”, which means “servant of Allah” as al-Jaleel is one of the names of Allah."
Abdul Jameel,عَبْدُ الجَمِيْل,N/A,"Abdul Jameel is an indirect Quranic name for boys that means “servant of the Beautiful One”, which means “servant of Allah” as al-Jameel is one of the names of Allah in Islam."
Abdul Kabir,عَبْدُ الكَبِيْر,N/A,"Abdul Kabir is an indirect Quranic name for boys that means “servant of the Great One”, which means “servant of Allah” as al-Kabir is one of the names of Allah in Islam."
Abdul Karim,عَبْدُ الكَرِيْم,N/A,"Abdul Karim is an indirect Quranic name for boys that means “servant of the Most Gracious One”, which means “servant of Allah” as al-Karim is one of the names of Allah."
Abdul Khabir,عَبْدُ الخَبِيْر,N/A,"Abdul Khabir is an indirect Quranic name for boys that means “servant of the All-Aware”, which means “servant of Allah” as al-Khabir is one of the names of Allah in Islam."
Abdul Khaliq,عَبدُ الخالق,N/A,"Abdul Khaliq is an indirect Quranic name for boys that means “servant of the Creator”, which means “servant of Allah” as al-Khaliq is one of the names of Allah."
Abdul Khallaq,عَبْدُ الخَلاَّق,N/A,"Abdul Khallaq is an indirect Quranic name for boys that means “servant of the Creator of All Things”, which means “servant of Allah” as al-Khallaq is one of the names of Allah in Islam."
Abdul Latif,عَبْدُ اللَطِيْف,N/A,"Abdul Latif is an indirect Quranic name for boys that means “servant of the Subtly Merciful/the Gentle One”, which means “servant of Allah” as al-Latif is one of the names of Allah."
Abdul Maalik,عَبْدُ المَالِك,N/A,"Abdul Maalik is an indirect Quranic name for boys that means “servant of the Owner [of all things]”, which means “servant of Allah” as al-Maalik is one of the names of Allah in Islam."
Abdul Majeed,عَبْدُ المَجِيْد,N/A,"Abdul Majeed is an indirect Quranic name for boys that means “servant of the Honorable”, which means “servant of Allah” as al-Majeed is one of the names of Allah in Islam."
Abdul Maleek,عَبْدُ المَلِيْك,N/A,"Abdul Maleek is an indirect Quranic name for boys that means “servant of the King”, which means “servant of Allah” as al-Maleek is one of the names of Allah in Islam."
Abdul Manaan,عَبْدُ المَنَّان,N/A,"Abdul Manaan is an indirect Quranic name for boys that means “servant of the Bestower of Grace” , which means “servant of Allah” as al-Manaan is one of the names of Allah in Islam."
Abdul Mateen,عَبْدُ المَتِيْن,N/A,"Abdul Mateen is an indirect Quranic name for boys that means “servant of the Most Strong”, which means “servant of Allah” as al-Mateen is one of the names of Allah."
Abdul Mawla,عَبْدُ المَوْلَى,N/A,"Abdul Mawla is an indirect Quranic name for boys that means “servant of the Protector”, which means “servant of Allah” as al-Mawla is one of the names of Allah in Islam."
Abdul Mubeen,عَبْدُ المُبِيْن,N/A,"Abdul Mubeen is an indirect Quranic name for boys that means “servant of the Manifest One who Manifests Truth”, which means “servant of Allah” as al-Mubeen is one of the names of Allah in Islam."
Abdul Muhaimin,عَبْدُ المُهَيْمِن,N/A,"Abdul Muhaimin is an indirect Quranic name for boys that means “servant of the ِOverseer”, which means “servant of Allah” as al-Muhaimin is one of the names of Allah in Islam."
Abdul Muheet,عَبْدُ المُحِيْط,N/A,"Abdul Muheet is an indirect Quranic name for boys that means “servant of the All-Encompassing”, which means “servant of Allah” as al-Muheet is one of the names of Allah in Islam."
Abdul Mujeeb,عَبْدُ المُجِيْب,N/A,"Abdul Mujeeb is an indirect Quranic name for boys that means “servant of the Answerer of Prayers”, which means “servant of Allah” as al-Mujeeb is one of the names of Allah."
Abdul Muqaddim,عَبْدُ المُقَدِّم,N/A,"Abdul Muqaddim is an indirect Quranic name for boys that means “servant of the Presenter”, which means “servant of Allah” as al-Muqaddim is one of the names of Allah in Islam."
Abdul Muqit,عَبْدُ المُقِيْت,N/A,"Abdul Muqit is an indirect Quranic name for boys that means “servant of the Keeper”, which means “servant of Allah” as al-Muqit is one of the names of Allah in Islam."
Abdul Muqtadir,عَبْدُ المُقْتَدِر,N/A,"Abdul Muqtadir is an indirect Quranic name for boys that means “servant of the Powerful”, which means “servant of Allah” as al-Muqtadir is one of the names of Allah in Islam."
Abdul Musawwir,عبد المصور,N/A,"Abdul Musawwir is an indirect Quranic name for boys that means “servant of Allah”. It comes from Abd (“servant”) and al-Musawwir (“the Shaper of Forms”, “the Designer”), which is one of the names of Allah."
Abdul Mutaal,عَبْدُ المُتَعَال,N/A,"Abdul Mutaal is an indirect Quranic name for boys that means “servant of the Most Exalted/the Transcendent”, which means “servant of Allah” as al-Mutaal is one of the names of Allah in Islam. Abdul Mutaal has the variant Abdul Mutaali, both of which are acceptable to use."
Abdul Mutaali,عَبْدُ المُتَعالي,N/A,"Abdul Mutaali is an indirect Quranic name for boys that means “servant of the Most Exalted/the Transcendent”, which means “servant of Allah” as al-Mutaali is one of the names of Allah in Islam. Abdul Mutaali is a variant of Abdul Mutaal, both of which are acceptable to use."
Abdul Naseer,عَبْدُ النَّصِيْر,N/A,"Abdul Naseer is an indirect Quranic name for boys that means “servant of the Helper”, which means “servant of Allah” as an-Naseer is one of the names of Allah in Islam."
Abdul Qadeer,عَبْدُ القَادِر,N/A,"Abdul Qadeer is an indirect Quranic name for boys that means “servant of the One Who has power over all things”, which means “servant of Allah” as al-Qadeer is one of the names of Allah in Islam."
Abdul Qadir,عَبْد القَادِر,N/A,"Abdul Qadir is an indirect Quranic name for boys that means “servant of the Able One”, which means “servant of Allah” since al-Qadir is one of the names of Allah in Islam."
Abdul Qahir,عَبْدُ القَاهِر,N/A,"Abdul Qahir is an indirect Quranic name for boys that means “servant of the Supreme”, which means “servant of Allah” as al-Qahir is one of the names of Allah in Islam."
Abdul Qareeb,عَبْدُ القَرِيْب,N/A,"Abdul Qareeb is an indirect Quranic name for boys that means “servant of the Near One”, which means “servant of Allah” as al-Qareeb is one of the names of Allah in Islam."
Abdul Qawee,عَبْدُ القَوِيّ,N/A,"Abdul Qawee is an indirect Quranic name for boys that means “servant of the Powerful”, which means “servant of Allah” as al-Qawee is one of the names of Allah in Islam."
Abdul Qawi,عَبْد القَوِيّ,N/A,"Abdul Qawi is an indirect Quranic name for boys that means “servant of God”. It is formed from Abd (servant) and al-Qawi (the Most Strong), which is one of the names of God in Islam."
Abdul Qayyum,عَبْدُ القَيُّوْم,N/A,"Abdul Qayyum is an indirect Quranic name for boys that means “servant of the Sustainer of Existence”, which means “servant of Allah” as al-Qayyum is one of the names of Allah in Islam."
Abdul Quddus,عبد القدوس,N/A,"Abdul Quddus is an indirect Quranic name for boys that means “servant of the Sacred One”, “servant of the Pure One”, i.e. servant of Allah subhanahu wa ta`ala. It is made up of Abd (servant, slave) and al-Quddus, “the Sacred One”, “the Holy One”, “the Perfect One”, which is one of the 99 names of Allah and is mentioned twice in the Quran:"
Abdul Shaheed,عِبْدُ الشَّهِيْد,N/A,"Abdul Shaheed (more correctly Abdush Shaheed) is an indirect Quranic name for boys that means “servant of the Witness”, which means “servant of Allah” as ash-Shaheed is one of the names of Allah in Islam."
Abdul Shakoor,عَبْدُ الشَّكُوْر,N/A,"Abdul Shakoor is an indirect Quranic name for boys that means “servant of the Appreciative One”, which means “servant of Allah” as al-Shakoor is one of the names of Allah in Islam."
Abdul Tawwab,عَبْدُ التَّوَّاب,N/A,"Abdul Tawwab is an indirect Quranic name for boys that means “servant of the Accepter of Repentance”, which means “servant of Allah” as al-Tawwab is one of the names of Allah in Islam."
Abdul Wadud,عَبْدُ الوَدُوْد,N/A,"Abdul Wadud is an indirect Quranic name for boys that means “servant of the Loving One”, which means “servant of Allah” as al-Wadud is one of the names of Allah in Islam."
Abdul Wahaab,عَبْدُ الوَهَّاب,N/A,"Abdul Wahaab is an indirect Quranic name for boys that means “servant of the Bestower”, which means “servant of Allah” as al-Wahaab is one of the names of Allah in Islam."
Abdul Wahid,عَبْدُ الوَاحِد,N/A,"Abdul Wahid is an indirect Quranic name for boys that means “servant of the One”, which means “servant of Allah” as al-Wahid is one of the names of Allah."
Abdul Wakeel,عِبْدُ الوَكِيْل,N/A,"Abdul Wakeel is an indirect Quranic name for boys that means “servant of the Worthy of Trust”, which means “servant of Allah” as al-Wakeel is one of the names of Allah in Islam."
Abdul Waleei,عِبْدُ الوَلِيّ,N/A,"Abdul Waleei is an indirect Quranic name for boys that means “servant of the Protector”, which means “servant of Allah” as al-Waleei is one of the names of Allah in Islam."
Abdul Waris,عَبْدُ الوَارِث,N/A,"Abdul Waris is an indirect Quranic name for boys that means “servant of the Inheritor” (who inherits the earth and everything on it), which means “servant of Allah” as al-Waris is one of the names of Allah in Islam."
Abdulbary,عَبْدُ البَاري,N/A,"Abdulbary is an indirect Quranic name for boys that means “servant of the Creator and Shaper of Forms”, meaning “servant of Allah”, as Bary is one of the names of Allah."
Abdullah,عَبْدُ الله,N/A,"Abdullah is a direct Quranic name for boys that means “servant of Allah”, “slave of Allah”. It was the name of Prophet Muhammd’s father and the name of one of his sons, peace and blessings of Allah upon him and his family. It is mentioned directly twice in the Quran:"
Abdur Rab,عَبْدُ الرَّب,N/A,"Abdur Rab is an indirect Quranic name for boys that means “servant of the Lord”, which means “servant of Allah” as ar-Rab is one of the names of Allah in Islam."
Abdur Raheem,عَبْدُ الرَّحِيْم,N/A,"Abdul Raheem is an indirect Quranic name for boys that means “servant of the Most Merciful”, which means “servant of Allah” as al-Raheem is one of the names of Allah."
Abdur Rahman,عَبْدُ الرَّحْمَن,N/A,"Abdur Rahman is an indirect Quranic name for boys that means “servant of the Most Gracious”, which means “servant of Allah” as ar-Rahman is one of the names of Allah in Islam."
Abdur Raoof,عَبْدُ الرَّؤُوْف,N/A,"Abdur Raoof is an indirect Quranic name for boys that means “servant of the Kind One”, which means “servant of Allah” as ar-Raoof is one of the names of Allah in Islam."
Abdur Raqeeb,عَبْدُ الرَّقِيْب,N/A,"Abdur Raqeeb is an indirect Quranic name for boys that means “servant of the Observer”, which means “servant of Allah” as ar-Raqeeb is one of the names of Allah in Islam."
Abdur Razzaq,عَبْدُ الرَّزَاق,N/A,"Abdur Razzaq is an indirect Quranic name for boys that means “servant of the Giver of Provision/Sustenance”, which means “servant of Allah” as ar-Razzaq is one of the names of Allah."
Abdus Salam,عبد السلام,N/A,"Abdus Salam is an indirect Quranic name for boys that means “servant of as-Salam“. as-Salam is one of the 99 names of Allah, glorified and exalted, that means “the source of peace and safety”. Thus Abdus Salam means “servant of the Source of Peace and Safety”, i.e. servant of Allah. The name of Allah of as-Salam is mentioned in Quran 59:23:"
Abdus Samad,عَبْدُ الصَّمَد,N/A,"Abdus Samad is an indirect Quranic name for boys that means “servant of the Eternal Refuge”, which means “servant of Allah” as as-Samad is one of the names of Allah in Islam."
Abdus Samee,عَبْدُ السَّمِيْع,N/A,"Abdus Samee is an indirect Quranic name for boys that means “servant of the All-Hearing”, which means “servant of Allah” as as-Samee is one of the names of Allah in Islam."
Abduz Zaahir,عَبْدُ الظَّاهِر,N/A,"Abdul Zaahir is an indirect Quranic name for boys that means “servant of the Outward One”, which means “servant of Allah” as az-Zaahir is one of the names of Allah in Islam."
Abeed,عَبِيد,N/A,"Abeed is an Arabic name for boys that means “servant of God”, “devoted worshiper of God”."
Abhaj,أَبْهَج,N/A,"Abhaj is an indirect Quranic name for boys that means “more successful”, “more brilliant”, “better”. It is derived from the B-H-J root which is used in a number of places in the Quran."
Abi,أَبِيّ,N/A,"Abi is an indirect Quranic name for boys that means “one with much refrain”, i.e. someone with much self-respect who refrains from doing base and purposeless actions. There is a similar word in Arabic that means “my father” and in English it can be spelled as Abi as well, the two are distinguished by emphasis: Abi, the name, has its emphasis on the second syllable (as in Abiyy), while Abi (“my father”) has the emphasis on the first syllable."
Abidain,عَابِدَيْن,N/A,"Abidain is an Arabic name for boys that means “worshipers”, “devoted servants of God”. It is a muthanna plural of Aabid, literally meaning “two worshipers”, “two devoted servants of god”."
Abideen,عَابِدِيْن,N/A,"Abideen is a direct Quranic name for boys that means “worshipers”, it is the plural of the name Aabid. It is derived from the AIN-B-D root which is used in many places in the Quran."
Abkar,أبكر,N/A,"Abkar is an indirect Quranic name for boys that means “early in a good way”, “on time”. It is derived from the B-K-R root which is used in a number of places in the Quran."
Ablagh,أَبْلَغ,N/A,"Arabic for “most mature”,  “most eloquent”."
Abraj,أَبْرَج,N/A,"Abraj is an indirect Quranic name for boys that means “beautiful-eyed”, one who has large black eyes."
Abraq,أبْرَق,N/A,"Abraq means “quick like lightening”, “brilliant”, “radiant”. It is derived from the B-R-Q root which is used in many places in the Quran."
Abu Bakr,أَبُوْ بَكْر,N/A,"Abu Bakr is an indirect Quranic name for boys that is formed from Abu (“father of”, “like”, “full of”) and Bakr (ancient name of Arabian tribes, “young camel”), both of which are Quranic words. Muslims like this name out of love for Abu Bakr as-Siddiq, the closest companion of Prophet Muhammad ﷺ."
Abu Firas,أبو فراس,N/A,Arabic for “lion”.
Abuda,عَبُودة,N/A,"Abuda is an indirect Quranic name for boys that means “servant of Allah”, “worshiper of Allah”. It is derived from the AIN-B-D root which is used in many places in the Quran."
Abudain,عَبُّودين,N/A,"Abudain is an Arabic name for boys that means “worshiper of God”, “devoted servant of God”."
Abudi,عَبُّودِيّ,N/A,Abudi is an Arabic name for boys that means “devoted worshiper of God”.
Abul Fazl,أَبُوْ الفَضْل,N/A,"Abul Fazl is an indirect Quranic name for boys that means “father of bounty”, “father of grace”. The word “father of” is one of the Arabic language’s linguistic tools for creating strong adjectives, thus the meaning here is “full of bounty”, “full of grace”, “one endowed with great graciousness”. Both Abu and Fazl are Quranic words."
Abyaz,أَبْيَض,N/A,"Abyaz is an indirect Quranic name for boys that means “white”, “bright”, “pure”. It is derived from the B-Y-DHAD root which is used in a number of places in the Quran."
Adalat,عَدَالَت,N/A,"Adalat is an indirect Quranic name for boys that means “justice”, “equity”, “fairness”."
Adam,آدم,N/A,"Adam is a direct Quranic name for boys that refers to the first human that God created, who was also the first prophet, peace be upon him. Adam according to some linguists is related to Adeem, which means “dust”, since God created Adam from dust, or from Admah, which means “surface of the Earth”. The word Adam mentioned 20 times in the Quran."
Addal,عَدَّال,N/A,"Addal is an Arabic name for boys that means “extremely just”, “extremely fair”."
Adeel,عَدِيْل,N/A,"Adeel is an indirect Quranic name for boys that means “one who acts with justice and fairness”, “moderate”, “virtuous”, “excellent in character”. It  is derived from the AIN-D-L root which is used in many places in the Quran."
Adham,أدهم,N/A,"Adham is a Quranic name for boys that means very dark, the color black. It is not directly mentioned in the Quran, but its root D-H-M is mentioned in Quran 55:64, for this reason it is an indirect Quranic name:"
Adl,عَدْل,N/A,"Adl is a direct Quranic name for boys that means “justice”, “fairness”, “virtuousness”, “moderation”, “moral excellence”. Adl is used in many places in the Quran, such as:"
Adlan,عَدْلان,N/A,"Adlan is an Arabic name for boys that means “fair”, “just’, a person who practices justice and fairness. It also means “one who follows a straight path”."
Adli,عَدْلِيّ,N/A,"Adli is an indirect Quranic name for boys that means “of justice”, “of fairness”, “related to fairness”, “having fairness and justice”."
Adnan,عَدْنَان,N/A,"Adnan is an indirect Quranic name for boys that is thought to be the name of the son of Prophet Ismaeel son of Prophet Ibrahim, peace be upon them. Adnan is the father of all Arabs of the north of Arabia and is one of the ancestors of Prophet Muhammad ﷺ. Adnan is derived from the AIN-D-N root (“eternal settlement”, “paradise”) and thus means “one who settles for a long time in a place”, “paradise”."
Adwam,أَدْوَم,N/A,"Adwam is an indirect Quranic name for boys that means “more lasting”, “more stable”, “eternal”, “everlasting”."
Affan,عفّان,N/A,"Affan is an indirect Quranic name for boys that means chaste, modest, virtuous, pure. It is derived from the Ain-F-F root which is used in a number of places in the Quran."
Afif,عفيف,N/A,"Afif is an indirect Quranic name for boys that means “chaste”, “virtuous”, “modest”, “righteous”. It is derived from the AIN-F-F root which is used in a number of places in the Quran."
Afrad,أَفْرَد,N/A,"Afrad is an indirect Quranic name for boys that means “unique”, “matchless”, “peerless”. It is derived from the F-R-D root (“single”, “alone”, opposite of “plural”) which is used in a number of places in the Quran."
Afseruddin,أَفْسَرُ الدِّيْن,N/A,"Afseruddin is an indirect Quranic name for boys that means “crown of the faith”, i.e. one who is a good believer and beautifies the religion in people’s eyes. It is formed from the Persian word Afser (“crown”) and the Arabic word ad-Deen (“the religion”, which refers to Islam). Afser is not a Quranic word, while ad-Deen is a Quranic word, for this reason we consider this name an indirect Quranic name."
Aftabuddin,آفتابُ الدِّيْن,N/A,"Aftabuddin is an indirect Quranic name for boys that means “sun of the religion”, it is the Persian equivalent of the name Shamsuddin. The full meaning is “one whose character and deeds beautify and support the religion”. It is formed from Persian Aftab (“sun”) and Arabic u (“of”) and ad-Deen (“the religion”)."
Afzaal,أَفْضَال,N/A,"Afzaal is an indirect Quranic name for boys that means “acts of kindness”, “acts that show one’s character and virtue”. It is derived from the F-DHAD-L root which is used in many places in the Quran."
