Name,Arabic Name,Variant,Content
Aarifa,عَارِفَة,N/A,"Aarifa is an indirect Quranic name for girls that means “one endowed with great knowledge”, “wise”, “experienced”. It is derived from the AIN-R-F root which is used in many places in the Quran."
Aasira,آسِرَة,N/A,"Aasira is an indirect Quranic name for girls that means “captivator”, one who captivates one’s attention, or a powerful warrior who can overcome and imprison enemies. It is derived from the A-S-R root which is used in many places in the Quran."
Aatifah,عَاطِفَة,N/A,"Aatifah is an Arabic name for girls that means “affectionate”, “sympathetic”. It also means “affection”, “emotion”, “feeling”."
Aatiqa,عَاتِقَة,N/A,Aatiqa is an Arabic name for girls that means “free”.
Aatiya,عاطية,N/A,"Arabic for “giver”, “bestower”."
Aayun,أَعْيُن,N/A,Aayun is an Arabic name for girls that means “eyes”. It is the plural of Ain. It is used 22 times in the Quran.
Abaasa,عَبَاسَة,N/A,Abaasa is an indirect Quranic name for girls that means “lioness” (female lion). It is a very rarely used name.
Abdaar,أبدار,N/A,"Abdaar means “full moons”, it is the plural of Badr which means “full moon”. It also means a girl who is mature in her thinking."
Abdiya,عَبْدِية,N/A,"Arabic for “servant”, “slave”, as in “servant of Allah”. It is the attributive form of Abd (servant/slave). This is a very rare name and it is not used by Arabs. We do not recommend using this name unless it is common in your culture."
Abeerah,عَبِيرَة,N/A,"Abeerah is an Arabic name for girls that means “perfume”, “fragrance”."
Abeira,عَبِيْرَة,N/A,"Abeira is an indirect Quranic name for girls that means “perfume”, “saffron”. It is derived from the AIN-B-R (“to interpret”, “lesson”) root which is used in many places in the Quran."
Abir,عَبِيْر,N/A,"Abir is an indirect Quranic name for girls that means “perfume”, or refers to a specific type of perfume whose exact identity is not known anymore. It is derived from the AIN-B-R (“to interpret”, “lesson”) root which is used in many places in the Quran."
Aburah,عَبُّورة,N/A,"Aburah is an Arabic name for girls that means “perfume”, “fragrance”."
Adaan,عَدَان,N/A,Adaan is an indirect Quranic name for girls that means one who happily resides in a place. It is derived from the AIN-D-N root which is used in many places in the Quran.
Adalah,عَدَالة,N/A,"Adalah is an Arabic name for girls that means “justice”, “fairness”, “equality”. It also means “one who acts with justice and fairness”."
Adan,عَدَن,N/A,Adan is an indirect Quranic name for girls that means “one who happily resides somewhere for eternity.” It is related to the word Eden in English. It is derived from the AIN-D-N root which is used in many places in the Quran.
Adaniyyah,عَدَنِيَّة,N/A,"Adaniyyah is an Arabic name for girls that means “a woman who is from the city of Aden”, which is an important seaport city in Yemen."
Adawiyah,عَدَوِيَّة,N/A,Arabic for a type of plant or shrub that appears in the summer. It is unclear what exactly this plant is.
Adeela,عَدِيْلَة,N/A,"Adeela is an indirect Quranic name for girls that means “one who acts with justice and fairness”, “moderate”, “virtuous”, “excellent in character”. It  is derived from the AIN-D-L root which is used in many places in the Quran."
Adeena,أذينة,N/A,"Adeena (also written as Azeena) is an indirect Quranic name for girls that means “obedient”, “righteous”, “one who listens to what is said”, “one who is in charge”, “ruler”. It is derived from the A-DHAL-N Quranic root."
Adlaa,عَدْلا,N/A,"Adlaa is an Arabic name for girls that means “just”, “fair”, a person who practices justice and fairness."
Adlah,عَدْلة,N/A,"Adlah is an Arabic name for girls that means “fair”, “just’, a person who practices justice and fairness. It also means “one who follows a straight path”."
Adlea,عَدْلِيَّة,N/A,"Adlea is an indirect Quranic name for girls that means “of justice and fairness”, “having justice and fairness”. It is derived from the AIN-D-L root which is used in a number of places in the Quran."
Adn,عَدْن,N/A,Adn is a direct Quranic name for girls that means “place of everlasting bliss.” It is used in many places in the Quran.
Adnanah,عَدْنَانة,N/A,"Adnanah is the feminine form of Adnan and means “long-term resident”, “settler”, a person who stays at a place for a long time and makes it her home."
Adniyyah,عَدْنِيَّة,N/A,"Adniyyah is an Arabic name for girls that means “resident”, “inhabitant”."
Aeni,عَيْنِيّ,N/A,"Aeni is an indirect Quranic name for girls that means “original”, “pure”, “true”."
Afaf,عَفَاف,N/A,"Afaf is an indirect Quranic name for girls that means “chaste”, “virtuous”, “pure”, “morally excellent”, “modest”. It is derived from the AIN-F-F root which is used in a number of places in the Quran."
Afana,عَفَّانَة,N/A,"Afana is an indirect Quranic name for girls that means “chaste”, “virtuous”, “modest”, a woman who doesn’t flaunt her charms and who is not selfish or greedy."
Afeera,عَفِيْرَة,N/A,"Afeera is an indirect Quranic name for girls that refers to a type of gazelle. It is a modern-day variant of Ufairah, people use it out of love for Ufairah al-Abidah, a famous ascetic woman. Afeera is derived from the AIN-F-R  (“dust”, “power”, etc.) root which is used in the Quran in verse 27:39."
Afeerah,عَفِيرة,N/A,"Afeerah is an Arabic name for girls that means “blonde”, “fair-skinned”."
Afifa,عَفيفة,N/A,"Afifa is an indirect Quranic name for girls that means “chaste”, “modest”, “righteous”. It is derived from the AIN-F-F root which is used in a number of places in the Quran."
Afiyat,عَافِيَت,N/A,"Afiyat is an indirect Quranic name for girls that means “health”, “freedom from illness”. It is a variant of Aafiya, thus it can be pronounced with or without a “t” at the end."
Afkar,أفكار,N/A,"Afkar is an Arabic name for girls that means “thoughts”, “ideas”."
Afraa,عَفْرَاء,N/A,"Afraa is an indirect Quranic name for girls that means “white”, “fair”, “13th night of the lunar month” (on which the moon is almost full and thus its white light is shining brightly), “female gazelle that with white patches of fur”. Afraa is the name of  two Sahabiyaat (virtuous women who lived at the time of the Prophet ﷺ) that we know of, whose full names were Afraa bint Ubaid bin Thaalaba and Afraa bint as-Sakn bin Raafi. It is derived from the AIN-F-R AIN-F-R  (“dust”, “power”, etc.) root which is used in the Quran in verse 27:39."
Afrah,أَفراح,N/A,"Afrah is an indirect Quranic name for girls that means joy, happiness, delight. It is derived from the F-R-H6 root which is used in many places in the Quran:"
Ahd,عَهْد,N/A,"Ahd is a direct Quranic name for girls that means “promise”, “trust”, “covenant”."
Ahdia,عهدية، عهديه,N/A,"Ahdia is an Arabic and Persian name that means “woman who keeps her promises”. It is formed from Ahd (“promise”) and the attributive suffix -iyyah, which can be shortened to -ia."
Aheedah,عَهِيدَة,N/A,"Aheedah is an Arabic name for girls that means “ally”, “confederate”."
Ahida,عَاهِدَة,N/A,"Arabic for “promiser”, “one who takes care of others”."
Ahina,عَاهِنة,N/A,"Arabic for “poor”, “ascetic”, “one who renounces the world”. It also means “firm”, “unshakeable”."
Ahlaam,أَحْلاَم,N/A,"Ahlaam is a direct Quranic name for girls that means “dreams”, which refers to both the dreams a person has during sleep and the a person’s goals and desires in life. Ahlaam is used four times in the Quran."
Ahmaraan,أَحْمَرَان,N/A,"Ahmaraan is an indirect Quranic name for girls that means “gold”, “saffron”. It is derived from the H6-M-R (redness)"
Aida,عَائِدَة,N/A,"Aida is an indirect Quranic name for girls that means “returner”, “visitor of the sick”. It is derived from the AIN-W-D (“to return”, “to bring back”) root which is used in many places in the Quran."
Aidana,عيدانة,N/A,Aidana is an indirect Quranic name for girls that means “tall palm tree”. It is derived from the Ain-D-N root (perpetuity) which is used in many places in the Quran.
Aisha,عائشة,N/A,"Aisha is an indirect Quranic name for girls that means “alive”, “well-living”, “happily living”. It is derived from the AIN-Y-SH (livelihood) root which is used in many places in the Quran. It is a common Muslim name out of life for Aisha bint Abu Bakr, wife of Prophet Muhammad, peace and blessings of Allah upon him and his family and companions."
Ala,آلَاء,N/A,"Ala is an Arabic name for girls that means “blessings”, “favors”, “wonders”. It is used 34 times in the Quran."
Alamafruz,عالم افروز,N/A,"Alamafruz is an indirect Quranic name for girls that means “enlightener of the world”, “one who brings light to the world”. Alamfruz is formed from the Arabic word Alam (“world”) and the the Persian and Urdu suffix -afruz (“enlightener”)."
Alamara,عالم آرا,N/A,"Alamara is an indirect Quranic name for girls that means “beautifier of the world”, a girl whose presence makes the world more beautiful. Alamara is formed from the Arabic word Alam (“world”) and the Persian/Urdu suffix -ara (“beautifier”)."
Alaya,عَلَايَا,N/A,"Alaya is an indirect Quranic name for boys and girls that means “greatness”, “highness”, “sublimity”. Arabs mostly use it for boys, while in other cultures it is used for girls as well. It is derived from the AIN-L-A root which is used in many places in the Quran."
Aleefa,أَلِيْفة,N/A,"Aleefa is an indirect Quranic name for girls that means “kind”, “compassionate”, “friendly”. It is derived from the A-L-F root which is used in many places in the Quran."
Aleema,عَلِيْمَة,N/A,"Aleema is an indirect Quranic name for girls that means “knowledgeable”, “intellectual”, “learned”. It is derived from the AIN-L-M (“knowledge”) root which is used in many places in the Quran."
Aleena,اليِناءْ,N/A,"Aleena is an indirect Quranic name for girls that means soft, pliable, delicate. It is the plural of Layyin. It is derived from the L-Y-N root which is used in a number of places in the Quran."
Alia,عالية,N/A,"Alia is a Quranic name for girls that means “high”, “exalted”, “sublime”, “lofty”. It is directly mentioned twice in the Quran:"
Aliaa,عَلْياء,N/A,"Aliaa is an indirect Quranic name for girls that means “uppermost”, “highest”, “most exalted”. It is derived from the AIN-L-A root which is used in many places of the Quran and is the root for the name Ali and Allah’s names of al-Ali and al-Muta`aali."
Alima,عَالِمَة,N/A,"Arabic for “knowledgeable”, “scholar”."
Aliyya,عليّة,N/A,"Aliyya is an indirect Quranic name for girls that means high, sublime. It is the feminine form of the name Ali. It is derived from the AIN-L-A root which is used often in the Quran and is the root for two of the 99 names of Allah: al-Ali and al-Muta`aali."
Aludra,العذراء,N/A,"Aludra is a variant of the Arabic girl name Azra and means “virgin”, it is also another name for the city of Medina in Saudi Arabia."
Alwan,ألوَان,N/A,"Alwan is an Arabic name for girls that means “colors”. It is the plural of the word Lawn (“color”). Alwan is mentioned 7 times in the Quran, such as in verse 16:13."
Alyaanah,عَلْيَانَة,N/A,"Alyaanah is an Arabic name for girls that means “great”, “high in rank and status”."
Amaal,آمال,N/A,"Amaal means “hopes” and “expectations”, and is the plural of Amal (“hope”)."
Amal,أمل,N/A,"Amal means “hope”, “longing”. It is mentioned twice in the Quran."
Amala,أَمَلَة,N/A,"Amala is an Arabic name for girls that means “hope”, “wish”, “desire”."
Amana,أمانا,N/A,"Amana is a variant of the Arabic girl name Amanah which means “devotion”, “faith”, and which can also mean “guardianship”, “custody”."
Amanaat,أَمَانَات,N/A,"Amanaat is a direct Quranic name for girls that means “trust”, “devotion”, “guardianship”, “loyalty”. The word Amanaat is used four times in the Quran."
Amanah,أَمَانَة,N/A,"Amanah is a direct Quranic name for girls that means “trust”, “devotion”, “guardianship”, “loyalty”. It is used in the Quran in verse 33:72 to refer to the gift of free will that God has given to mankind."
Amanatullah,أَمَانَةُ الله,N/A,"Amanatullah is an Arabic name for girls that means “God’s charge”, “God’s consignment”, something that is given to you by God to care for and protect."
Amani,أماني,N/A,"Amani is a direct Quranic name for girls that means hope, wish, fancy. It is used five times in the Quran. It is the plural of Umniya, which is another Quranic name."
Amanullah,أَمَانُ الله,N/A,"Amanullah is an Arabic name for girls that means “God’s peace”, “God’s protection”, a peace and safety that comes from God."
Amatul Aakhir,أَمَة الآخِر,N/A,"Amatul Aakhir is an indirect Quranic name for girls that means “servant of the Last One”, which means “servant of Allah” as al-Aakhir is one of the names of God."
Amatul Aala,أَمَةُ الأَعْلَى,N/A,"Amatul Aala is an indirect Quranic name for girls that means “servant of the Highest One”, which means “servant of Allah” as al-Aala is one of the names of God."
Amatul Afuw,أمة العفوّ,N/A,"Amatul Afuw is an indirect Quranic name for girls that means “servant of the Forgiving One”, which means “servant of Allah” as al-Afuw is one of the names of God."
Amatul Ahad,أمة الأحد,N/A,"Amatul Ahad is an indirect Quranic name for girls that means “servant of the One”, which means “servant of Allah” as al-Ahad is one of the names of God."
Amatul Akram,أمة الأكرم,N/A,"Amatul Akram is an indirect Quranic name for girls that means “servant of the Most Gracious”, which means “servant of Allah” as al-Akram is one of the names of God."
Amatul Aleem,أَمة العَلِيْم,N/A,"Amatul Aleem is an indirect Quranic name for girls that means “servant of the Most Knowing”, which means “servant of Allah” as al-Aleem is one of the names of God."
Amatul Awwal,أمة الأول,N/A,"Amatul Awwal is an indirect Quranic name for girls that means “servant of the First One”, which means “servant of Allah” as al-Awwal is one of the names of God."
Amatul Azim,أَمَة العَظِيْم,N/A,"Amatul Azim is an indirect Quranic name for girls that means “servant of the Great One”, which means “servant of Allah” as al-Azim is one of the names of God."
Amatul Aziz,أَمَة العَزِيْز,N/A,"Amatul Aziz is an indirect Quranic name for girls that means “servant of the Mighty One”, which means “servant of Allah” as al-Aziz is one of the names of God."
Amatul Baatin,أمَة البَاطِن,N/A,"Amatul Baatin is an indirect Quranic name for girls that means “servant of the Hidden One”, which means “servant of Allah” as al-Baatin is one of the names of God."
Amatul Baseer,أَمَة البَصِيْر,N/A,"Amatul Baseer is an indirect Quranic name for girls that means “servant of the All-Seeing One”, which means “servant of Allah” as al-Baseer is one of the names of God."
Amatul Basit,أَمَة الله,N/A,"Amatul Aakhir is an indirect Quranic name for girls that means “servant of the Extender”, which means “servant of Allah” as al-Basit is one of the names of God."
Amatul Birr,أَمة البِرّ,N/A,"Amatul Aakhir is an indirect Quranic name for girls that means “servant of the Faithful One”, which means “servant of Allah” as al-Birr is one of the names of God."
Amatul Elah,أمة الإله,N/A,"Amatul Elah is an indirect Quranic name for girls that means “servant of the Deity”, which means “servant of Allah” as al-Elah is the expanded form of the word Allah."
Amatul Fattah,أمة الفتّاح,N/A,"Amatul Fattah is an indirect Quranic name for girls that means “servant of the Opener”, which means “servant of Allah” as al-Fattah is one of the names of God."
Amatul Ghaffar,أَمَة الغَفَّار,N/A,"Amatul Ghaffar is an indirect Quranic name for girls that means “servant of the All-Forgiving”, which means “servant of Allah” as al-Ghaffar is one of the names of God."
Amatul Ghafoor,أَمَة الغَفُوْر,N/A,"Amatul Ghafoor is an indirect Quranic name for girls that means “servant of the Most Forgiving”, which means “servant of Allah” as al-Ghafoor is one of the names of God."
Amatul Ghani,أمة الغَنِيّ,N/A,"Amatul Ghani is an indirect Quranic name for girls that means “servant of the Rich One”, which means “servant of Allah” as al-Ghani is one of the names of God."
Amatul Haafiz,أمة الحَافِظ,N/A,"Amatul Haafiz is an indirect Quranic name for girls that means “servant of the Protector”, which means “servant of Allah” as al-Haafiz is one of the names of God."
Amatul Hadi,أمة الهَادِي,N/A,"Amatul Hadi is an indirect Quranic name for girls that means “servant of the Guide”, which means “servant of Allah” as al-Hadi is one of the names of God."
Amatul Hafeez,أَمَة الحَفِيْظ,N/A,"Amatul Hafeez is an indirect Quranic name for girls that means “servant of the Best Protector”, which means “servant of Allah” as al-Hafeez is one of the names of God."
Amatul Hai,أمَة الحَيّ,N/A,"Amatul Hai is an indirect Quranic name for girls that means “servant of the Ever-Living”, which means “servant of Allah” as al-Hai is one of the names of God"
Amatul Hakam,أمة الحَكَم,N/A,"Amatul Hakam is an indirect Quranic name for girls that means “servant of the Arbitrator”, which means “servant of Allah” as al-Hakam is one of the names of God."
Amatul Hakeem,أَمَة الحَكِيْم,N/A,"Amatul Hakeem is an indirect Quranic name for girls that means “servant of the Decisive One”, which means “servant of Allah” as al-Hakeem is one of the names of God."
Amatul Haleem,أَمَة الحَلِيْم,N/A,"Amatul Haleem is an indirect Quranic name for girls that means “servant of the Forbearing One”, which means “servant of Allah” as al-Haleem is one of the names of God."
Amatul Hameed,أمَة الحَمِيْد,N/A,"Amatul Hameed is an indirect Quranic name for girls that means “servant of the Praiseworthy One”, which means “servant of Allah” as al-Hameed is one of the names of God."
Amatul Haq,أَمَة الحَق,N/A,"Amatul Haq is an indirect Quranic name for girls that means “servant of the Truth”, which means “servant of Allah” as al-Haq is one of the names of God."
Amatul Haseeb,أَمة الحَسِيْب,N/A,"Amatul Haseeb is an indirect Quranic name for girls that means “servant of the Accounter”, which means “servant of Allah” as al-Haseeb is one of the names of God."
Amatul Jabar,أَمَة الجَبَّار,N/A,"Amatul Jabar is an indirect Quranic name for girls that means “servant of the Mighty One”, which means “servant of Allah” as al-Jabar is one of the names of God."
Amatul Jaleel,أَمَة الجَلِيْل,N/A,"Amatul Jaleel is an indirect Quranic name for girls that means “servant of the Almighty One”, which means “servant of Allah” as al-Jaleel is one of the names of God."
Amatul Jameel,أمَة الجَمِيْل,N/A,"Amatul Jameel is an indirect Quranic name for girls that means “servant of the Beautiful One”, which means “servant of Allah” as al-Jameel is one of the names of God."
Amatul Kabir,أمة الكَبِيْر,N/A,"Amatul Kabir is an indirect Quranic name for girls that means “servant of the Great One”, which means “servant of Allah” as al-Kabir is one of the names of God."
Amatul Kareem,أَمة الكَرِيْم,N/A,"Amatul Kareem is an indirect Quranic name for girls that means “servant of the Gracious One”, which means “servant of Allah” as al-Kareem is one of the names of God."
Amatul Khabir,أَمَة الخَبِيْر,N/A,"Amatul Khabir is an indirect Quranic name for girls that means “servant of the All-Aware”, which means “servant of Allah” as al-Khabir is one of the names of God."
Amatul Khaliq,أَمَة الخَالِق,N/A,"Amatul Khaliq is an indirect Quranic name for girls that means “servant of the Creator”, which means “servant of Allah” as al-Khaliq is one of the names of God."
Amatul Khallaq,أمة الخلاّق,N/A,"Amatul Khallaq is an indirect Quranic name for girls that means “servant of the Creator of All Things”, which means “servant of Allah” as al-Khallaq is one of the names of God."
Amatul Latif,أمَة اللَّطِيْف,N/A,"Amatul Latif is an indirect Quranic name for girls that means “servant of the Subtly Kind One”, which means “servant of Allah” as al-Latif is one of the names of God."
Amatul Maalik,أَمَة المَالِك,N/A,"Amatul Maalik is an indirect Quranic name for girls that means “servant of the Owner of the Universe”, which means “servant of Allah” as al-Maalik is one of the names of God."
Amatul Majeed,أمة المَجِيْد,N/A,"Amatul Majeed is an indirect Quranic name for girls that means “servant of the Glorious One”, which means “servant of Allah” as al-Majeed is one of the names of God."
Amatul Maleek,أمة المَلِيْك,N/A,"Amatul Maleek is an indirect Quranic name for girls that means “servant of the King”, which means “servant of Allah” as al-Maleek is one of the names of God."
Amatul Manaan,أَمَة المَنَّان,N/A,"Amatul Manaan is an indirect Quranic name for girls that means “servant of the Bestower”, which means “servant of Allah” as al-Manaan is one of the names of God."
Amatul Mateen,أمة المَتِيْن,N/A,"Amatul Mateen is an indirect Quranic name for girls that means “servant of the Firm One”, which means “servant of Allah” as al-Mateen is one of the names of God."
Amatul Mawla,أمة المولى,N/A,"Amatul Mawla is an indirect Quranic name for girls that means “servant of the Protector”, which means “servant of Allah” as al-Mawla is one of the names of God."
Amatul Mubeen,أَمَة المُبِيْن,N/A,"Amatul Mubeen is an indirect Quranic name for girls that means “servant of the Apparent One”, which means “servant of Allah” as al-Mubeen is one of the names of God."
Amatul Muhaimin,أَمَة المُهَيْمِن,N/A,"Amatul Muhaimin is an indirect Quranic name for girls that means “servant of the Overseer”, which means “servant of Allah” as al-Muhaimin is one of the names of God."
Amatul Muheet,أمة المُحِيْط,N/A,"Amatul Muheet is an indirect Quranic name for girls that means “servant of the All-Encompassing”, which means “servant of Allah” as al-Muheet is one of the names of God."
Amatul Mujeeb,أمة المُجِيْب,N/A,"Amatul Mujeeb is an indirect Quranic name for girls that means “servant of the Responder”, which means “servant of Allah” as al-Mujeeb is one of the names of God."
Amatul Muqaddim,أَمَة المُقَدِّم,N/A,"Amatul Muqaddim is an indirect Quranic name for girls that means “servant of the Presenter”, which means “servant of Allah” as al-Muqaddim is one of the names of God."
Amatul Muqit,أَمَة المُقِيْت,N/A,"Amatul Muqit is an indirect Quranic name for girls that means “servant of the Keeper”, which means “servant of Allah” as al-Muqit is one of the names of God."
Amatul Muqtadir,أَمَة المُقْتَدِر,N/A,"Amatul Muqtadir is an indirect Quranic name for girls that means “servant of the All-Powerful”, which means “servant of Allah” as al-Muqtadir is one of the names of God."
Amatul Musawwir,أَمَة المُصَوِّر,N/A,"Amatul Musawwir is an indirect Quranic name for girls that means “servant of the Shaper”, which means “servant of Allah” as al-Musawwir is one of the names of God."
Amatul Mutaal,أَمَة المُتَعَال,N/A,"Amatul Mutaal is an indirect Quranic name for girls that means “servant of the Exalted”, which means “servant of Allah” as al-Mutaal is one of the names of God."
Amatul Mutaali,أَمَة المُتَعَالي,N/A,"Amatul Mutaali is an indirect Quranic name for girls that means “servant of the All-Encompassing”, which means “servant of Allah” as al-Mutaali is one of the names of God."
Amatul Naseer,أَمَة النَّصِيْر,N/A,"Amatul Naseer is an indirect Quranic name for girls that means “servant of the Supporter”, which means “servant of Allah” as al-Naseer is one of the names of God."
Amatul Qadeer,أَمَة القَدِيْر,N/A,"Amatul Qadeer is an indirect Quranic name for girls that means “servant of the All-Capable”, which means “servant of Allah” as al-Qadeer is one of the names of God."
Amatul Qadir,أَمَة القَدِيْر,N/A,"Amatul Qadir is an indirect Quranic name for girls that means “servant of the Capable”, which means “servant of Allah” as al-Qadir is one of the names of God. This name is different than Amatul Qadeer, though they have similar meanings."
Amatul Qahir,أَمَة القَاهِر,N/A,"Amatul Qahir is an indirect Quranic name for girls that means “servant of the Domineering”, which means “servant of Allah” as al-Qahir is one of the names of God."
Amatul Qareeb,أَمَة القَرِيْب,N/A,"Amatul Qareeb is an indirect Quranic name for girls that means “servant of the Near One”, which means “servant of Allah” as al-Qareeb is one of the names of God."
Amatul Qawee,أَمَة القَوِيّ,N/A,"Amatul Qawee is an indirect Quranic name for girls that means “servant of the Strong One”, which means “servant of Allah” as al-Qawee is one of the names of God."
Amatul Qayyum,أَمَة القَيُّوْم,N/A,"Amatul Qayyum is an indirect Quranic name for girls that means “servant of the Sustainer of Existence“, which means “servant of Allah” as al-Qayyum is one of the names of God."
Amatul Quddus,أَمَة القُدُّوْس,N/A,"Amatul Quddus is an indirect Quranic name for girls that means “servant of the Holy One”, which means “servant of Allah” as al-Quddus is one of the names of God."
Amatul Shaheed,أَمَة الشَّهِيْد,N/A,"Amatul Shaheed is an indirect Quranic name for girls that means “servant of the Witness”, which means “servant of Allah” as al-Shaheed is one of the names of God."
Amatul Shakoor,أَمَة الشَّكُوْر,N/A,"Amatul Shakoor is an indirect Quranic name for girls that means “servant of the Appreciative”, which means “servant of Allah” as al-Shakoor is one of the names of God."
Amatul Tawwab,أَمَة التَّوَّاب,N/A,"Amatul Tawwab is an indirect Quranic name for girls that means “servant of the Accepter of Repentance”, which means “servant of Allah” as al-Tawwab is one of the names of God."
Amatul Wadud,أَمَة الوَدُوْد,N/A,"Amatul Wadud is an indirect Quranic name for girls that means “servant of the Loving One”, which means “servant of Allah” as al-Wadud is one of the names of God."
Amatul Wahaab,أَمَة الوَهَّاب,N/A,"Amatul Wahaab is an indirect Quranic name for girls that means “servant of the Bestower”, which means “servant of Allah” as al-Wahaab is one of the names of God."
Amatul Wahid,أَمَة الوَاحِد,N/A,"Amatul Muheet is an indirect Quranic name for girls that means “servant of the All-Encompassing”, which means “servant of Allah” as al-Muheet is one of the names of God."
Amatul Waleei,أَمَة الوَلِيّ,N/A,"Amatul Waleei is an indirect Quranic name for girls that means “servant of the Protector”, which means “servant of Allah” as al-Waleei is one of the names of God."
Amatul Waris,أَمَة الوَارِث,N/A,"Amatul Waris is an indirect Quranic name for girls that means “servant of the Inheritor”, which means “servant of Allah” as al-Waris is one of the names of God."
Amatullah,أَمَة الله,N/A,Amatullah is an indirect Quranic name for girls that means “servant of Allah”. It is the feminine version of the common Arabic boy name Abdullah.
Amatur Rab,أَمَة الرَّب,N/A,"Amatur Rab is an indirect Quranic name for girls that means “servant of the Lord”, which means “servant of Allah”."
Amatur Raheem,أَمَة الرَّحِيْم,N/A,"Amatur Raheem is an indirect Quranic name for girls that means “servant of the Most Merciful”, which means “servant of Allah” as ar-Raheem is one of the names of God."
Amatur Rahman,أَمَة الرَّحْمَن,N/A,"Amatul Rahman is an indirect Quranic name for girls that means “servant of the Most Gracious”, which means “servant of Allah” as ar-Rahman is one of the names of God."
Amatur Raqeeb,أَمَة الرَّقِيْب,N/A,"Amatur Raqeeb is an indirect Quranic name for girls that means “servant of the Overseer”, which means “servant of Allah” as ar-Raqeeb is one of the names of God."
Amatur Razzaq,أَمَة الرَّزَّاق,N/A,"Amatur Razzaq is an indirect Quranic name for girls that means “servant of the Provider”, which means “servant of Allah” as ar-Razzaq is one of the names of God."
Amatus Salam,أَمَة السَّلاَم,N/A,"Amatus Salam is an indirect Quranic name for girls that means “servant of Peace”, which means “servant of Allah” as as-Salam is one of the names of God."
Amatus Samad,أَمَة الصَّمَد,N/A,"Amatus Samad is an indirect Quranic name for girls that means “servant of the Eternal Refuge”, which means “servant of Allah” as as-Samad is one of the names of God."
Amatus Samee,أَمَة السَّمِيْع,N/A,"Amatus Samee is an indirect Quranic name for girls that means “servant of the Hearer”, which means “servant of Allah” as as-Samee is one of the names of God."
Amatuz Zaahir,أَمَة الظَّاهِر,N/A,"Amatuz Zaahir is an indirect Quranic name for girls that means “servant of the Apparent One”, which means “servant of Allah” as az-Zaahir is one of the names of God."
Ameena,أمينة,N/A,"Ameenah means someone who is trusted, loyal, or has strong Imaan (belief in Allah). It is the baby girl version of the name Ameen."
Amila,عاملة,N/A,"Arabic for “worker”, “striver”. It can also mean “one who hopes”."
Amina,آمنة,N/A,"Amina means ‘safe one’, someone who is protected from all that causes fear. It is the name of Prophet Muhammad’s mother (sallallahu alaihi wa sallam wa alaiha salaam). Note that the emphasis is on the A at the beginning (thus a long Aa and a quick mina), as opposed to the name Ameena where the emphasis is on the mee."
Aminan,أَمِنَان,N/A,"Aminan is an Arabic name for girls that means “calm”, “at peace”, “not afraid”."
Aminat,أَمِيْنَات,N/A,"Aminat is an Arabic name for girls that means “trustworthy women”, “loyal women”, “faithful women”. It is the plural of Ameena."
Aminu,أمنو,N/A,"Aminu is an Arabic name for girls that means “safe”, “secure”, “at peace”. It is a non-standard nickname derived from the word Amin."
